date,Salinity PagsanjanStn18_2012-2016,Salinity SanctuaryStn17_2012-2016,Salinity SanRosaStn16_2012-2016,Salinity SanPedroStn15_2012-2016,Salinity SouthBayStn8_1999-2016,Salinity EastBayStn2_1999-2016,Salinity CentralBayStn4_1999-2016,Salinity WestBay_Stn1_1999-2016,Salinity WestBayStn5_1999-2016
,,,,,,,,,
1999-01-12,,,,,376.0,357.0,673.0,584.0,610.0
1999-02-09,,,,,461.0,372.0,640.0,558.0,536.0
1999-03-09,,,,,491.0,353.0,573.0,536.0,510.0
1999-04-06,,,,,305.0,327.0,571.0,536.0,513.0
1999-05-11,,,,,439.0,205.0,532.0,469.0,454.0
1999-06-22,,,,,439.0,365.0,476.0,443.0,424.0
1999-07-13,,,,,428.0,394.0,439.0,476.0,383.0
1999-08-10,,,,,357.0,175.0,342.0,212.0,368.0
1999-09-13,,,,,257.0,245.0,286.0,305.0,290.0
1999-10-12,,,,,212.0,186.0,275.0,279.0,268.0
1999-11-16,,,,,,116.0,229.0,223.0,208.0
1999-12-07,,,,,134.0,102.0,216.0,217.0,182.0
2000-01-18,,,,,130.0,130.0,182.0,164.0,164.0
2000-02-08,,,,,112.0,97.0,164.0,156.0,156.0
2000-03-14,,,,,89.0,123.0,145.0,138.0,138.0
2000-04-11,,,,,130.0,123.0,143.0,138.0,140.0
2000-05-09,,,,,119.0,130.0,145.0,134.0,134.0
2000-06-13,,,,,123.0,115.0,126.0,119.0,126.0
2000-07-12,,,,,119.0,86.0,119.0,112.0,19.0
2000-08-09,,,,,93.0,67.0,82.0,71.0,89.0
2000-09-12,,,,,97.0,48.0,82.0,84.0,89.0
2000-10-10,,,,,63.0,60.0,82.0,86.0,86.0
2000-11-14,,,,,45.0,37.0,63.0,48.0,60.0
2000-12-12,,,,,15.0,45.0,56.0,52.0,48.0
2001-02-13,,,,,,,,,
2001-03-13,,,,,,,,,
2001-04-17,,,,,,,,,
2001-05-07,,,,,,,,,
2001-06-13,,,,,,,,,
2001-07-11,,,,,,,,,
2001-08-14,,,,,22.3,22.3,24.2,24.0,22.0
2001-09-11,,,,,17.0,17.0,17.0,22.0,24.0
2001-10-09,,,,,30.0,26.0,33.0,33.0,33.0
2001-11-13,,,,,23.0,8.0,34.0,49.0,32.0
2001-12-11,,,,,28.0,14.0,39.0,56.0,39.0
2002-01-15,,,,,24.0,24.0,28.0,26.0,26.0
2002-02-12,,,,,28.0,28.0,30.0,28.0,28.0
2002-03-12,,,,,28.0,35.0,37.0,33.0,35.0
2002-04-09,,,,,33.0,37.0,37.0,43.0,39.0
2002-05-07,,,,,41.0,41.0,43.0,156.0,1005.0
2002-06-18,,,,,69.0,201.0,1105.0,865.0,680.0
2002-07-17,,,,,391.0,227.0,585.0,201.0,35.0
2002-08-15,,,,,260.0,156.0,465.0,331.0,281.0
2002-09-03,,,,,255.0,195.0,329.0,324.0,396.0
2002-10-01,,,,,216.0,234.0,290.0,275.0,272.0
2002-11-04,,,,,190.0,216.0,264.0,260.0,257.0
2002-12-02,,,,,193.0,246.0,249.0,242.0,227.0
2003-01-08,,,,,186.0,216.0,227.0,197.0,182.0
2003-02-03,,,,,160.0,223.0,216.0,203.0,195.0
2003-03-03,,,,,169.0,195.0,214.0,210.0,206.0
2003-04-01,,,,,214.0,208.0,219.0,214.0,216.0
2003-05-05,,,,,246.0,283.0,595.0,1525.0,3013.0
2003-06-09,,,,,,,625.0,1004.0,975.0
2003-07-16,,,,,443.0,588.0,807.0,,670.0
2003-08-04,,,,,589.0,604.0,750.0,627.0,508.0
2003-09-08,,,,,368.0,591.0,603.0,510.0,435.0
