"EST_ID","EST_WB","EST_WBT","EST_OWNR","EST_NAME","EST_TYPE","EST_STATUS","EST_BT","EST_BP","EST_EN","EST_BOD","EST_ST","EST_BRGY","EST_MUNCITY","EST_PROVINCE","EST_REGION","EST_LAT","EST_LONG","EST_E","EST_SPTK","EST_SPTK_TYPE","EST_WWTF","EST_SC","EST_R","DATE_ENCODED","ENCODER"
"221944","ANGAT RIVER","RIVER","","MEGATON","COMMERCIAL","OPERATIONAL","WAREHOUSE","YES","","","RIVER SIDE HANGGA","BARANGAY STA. RITA","GUIGUINTO","BULACAN","REGION III","","","INSIDE","YES","HYGIENIC","NO","HIYAS","","2016-04-27","LGU.GUIGUINTO.R3"
"221945","ANGAT RIVER","RIVER","","NATURES SPRING","FACTORY","OPERATIONAL","MANUFACTURING","YES","","","RECOLETO","BARANGAY STA. RITA","GUIGUINTO","BULACAN","REGION III","","","INSIDE","YES","HYGIENIC","YES","NATURES SPRING","","2016-04-27","LGU.GUIGUINTO.R3"
"221946","UGONG CREEK","CREEK","LAWRENCE ONG","INTERNATIONAL CHEMICAL INDUSTRIES INCORPORATED","FACTORY","OPERATIONAL","MANUFACTURING","YES","","","MAC ARTHUR HIGHWAY","BARANGAY TUKTUKAN","GUIGUINTO","BULACAN","REGION III","","","OUTSIDE","YES","HYGIENIC","YES","","","2016-04-27","LGU.GUIGUINTO.R3"
"221947","GUIGUINTO RIVER","RIVER","","LIMTUACO","FACTORY","OPERATIONAL","MANUFACTURING","YES","","","MALIS","BARANGAY MALIS","GUIGUINTO","BULACAN","REGION III","","","OUTSIDE","YES","HYGIENIC","YES","","","2016-04-27","LGU.GUIGUINTO.R3"
"221948","UGONG CREEK","CREEK","ROBERT CRUZ","SUN WORLD INCORPORATED","FACTORY","OPERATIONAL","MANUFACTURING","YES","","","MAC ARTHUR HIGHWAY","BARANGAY TUKTUKAN","GUIGUINTO","BULACAN","REGION III","","","OUTSIDE","YES","HYGIENIC","YES","","","2016-04-27","LGU.GUIGUINTO.R3"
"221949","BULAKAN CREEK","CREEK","","BIO SOAP","FACTORY","OPERATIONAL","MANUFACTURING","YES","","","","BARANGAY TABANG","GUIGUINTO","BULACAN","REGION III","","","OUTSIDE","YES","HYGIENIC","YES","","","2016-04-27","LGU.GUIGUINTO.R3"
"221950","ANGAT RIVER","RIVER","HENRY LIM","HOC PO","FACTORY","OPERATIONAL","MANUFACTURING","YES","","","MAC ARTHUR HIGHWAY","BARANGAY STA. CRUZ","GUIGUINTO","BULACAN","REGION III","","","OUTSIDE","YES","HYGIENIC","YES","","","2016-04-27","LGU.GUIGUINTO.R3"
"221951","GUIGUINTO RIVER","RIVER","","WALTERMART","COMMERCIAL","OPERATIONAL","ESTABLISHMENT","YES","","","MAC ARTHUR HIGHWAY","BARANGAY ILANG ILANG","GUIGUINTO","BULACAN","REGION III","","","OUTSIDE","YES","HYGIENIC","YES","","","2016-04-27","LGU.GUIGUINTO.R3"
"221952","ANGAT RIVER","RIVER","","ABBATOIR","FACTORY","OPERATIONAL","MANUFACTURING","YES","","","","BARANGAY STA. RITA","GUIGUINTO","BULACAN","REGION III","","","OUTSIDE","YES","HYGIENIC","YES","","","2016-04-27","LGU.GUIGUINTO.R3"
"221953","ANGAT RIVER","RIVER","HENRY LIM","HGL AND COMPANY","COMMERCIAL","OPERATIONAL","WAREHOUSE","YES","","","MAC ARTHUR HIGHWAY","BARANGAY STA. RITA","GUIGUINTO","BULACAN","REGION III","","","OUTSIDE","YES","HYGIENIC","YES","","","2016-04-27","LGU.GUIGUINTO.R3"
