date,Water Level
1-Jan-00,12.370
2-Jan-00,12.333
3-Jan-00,12.335
4-Jan-00,12.283
5-Jan-00,12.280
6-Jan-00,12.260
7-Jan-00,12.283
8-Jan-00,12.203
9-Jan-00,12.280
10-Jan-00,12.160
11-Jan-00,12.150
12-Jan-00,12.120
13-Jan-00,12.110
14-Jan-00,12.073
15-Jan-00,12.060
16-Jan-00,12.023
17-Jan-00,12.020
18-Jan-00,11.973
19-Jan-00,11.963
20-Jan-00,11.943
21-Jan-00,11.910
22-Jan-00,11.945
23-Jan-00,11.940
24-Jan-00,11.923
25-Jan-00,11.900
26-Jan-00,11.875
27-Jan-00,11.860
28-Jan-00,11.843
29-Jan-00,11.830
30-Jan-00,11.813
31-Jan-00,11.800
1-Feb-00,11.785
2-Feb-00,11.760
3-Feb-00,11.715
4-Feb-00,11.700
5-Feb-00,11.705
6-Feb-00,11.700
7-Feb-00,11.715
8-Feb-00,11.715
9-Feb-00,11.695
10-Feb-00,11.680
11-Feb-00,11.680
12-Feb-00,11.675
13-Feb-00,11.655
14-Feb-00,11.640
15-Feb-00,11.630
16-Feb-00,11.620
17-Feb-00,11.575
18-Feb-00,11.555
19-Feb-00,11.535
20-Feb-00,11.515
21-Feb-00,11.495
22-Feb-00,11.470
23-Feb-00,11.395
24-Feb-00,11.375
25-Feb-00,11.355
26-Feb-00,11.330
27-Feb-00,11.305
28-Feb-00,11.285
29-Feb-00,11.265
1-Mar-00,11.245
2-Mar-00,11.225
3-Mar-00,11.225
4-Mar-00,11.185
5-Mar-00,11.165
6-Mar-00,11.145
7-Mar-00,11.335
8-Mar-00,11.515
9-Mar-00,11.500
10-Mar-00,11.485
11-Mar-00,11.490
12-Mar-00,11.485
13-Mar-00,11.450
14-Mar-00,11.435
15-Mar-00,11.425
16-Mar-00,11.410
17-Mar-00,11.400
18-Mar-00,11.380
19-Mar-00,11.375
20-Mar-00,11.345
21-Mar-00,11.340
22-Mar-00,11.325
23-Mar-00,11.315
24-Mar-00,11.295
25-Mar-00,11.295
26-Mar-00,11.285
27-Mar-00,11.275
28-Mar-00,11.235
29-Mar-00,11.230
30-Mar-00,11.215
31-Mar-00,11.205
1-Apr-00,11.200
2-Apr-00,11.200
3-Apr-00,11.185
4-Apr-00,11.180
5-Apr-00,11.170
6-Apr-00,11.170
7-Apr-00,11.160
8-Apr-00,11.155
9-Apr-00,11.145
10-Apr-00,11.140
11-Apr-00,11.140
12-Apr-00,11.140
13-Apr-00,11.130
14-Apr-00,11.130
15-Apr-00,11.120
16-Apr-00,11.110
17-Apr-00,11.100
18-Apr-00,11.085
19-Apr-00,11.045
20-Apr-00,11.045
21-Apr-00,11.045
22-Apr-00,11.040
23-Apr-00,11.030
24-Apr-00,11.030
25-Apr-00,11.025
26-Apr-00,11.020
27-Apr-00,11.010
28-Apr-00,11.010
29-Apr-00,10.990
30-Apr-00,10.990
1-May-00,10.975
2-May-00,10.970
3-May-00,10.960
4-May-00,10.955
5-May-00,10.940
6-May-00,10.940
7-May-00,10.930
8-May-00,10.925
9-May-00,10.915
10-May-00,10.910
11-May-00,10.910
12-May-00,10.915
13-May-00,10.910
14-May-00,10.900
15-May-00,10.940
16-May-00,11.015
17-May-00,11.050
18-May-00,11.075
19-May-00,11.075
20-May-00,11.090
21-May-00,11.090
22-May-00,11.085
23-May-00,11.080
24-May-00,11.075
25-May-00,11.125
26-May-00,11.165
27-May-00,11.160
28-May-00,11.165
29-May-00,11.170
30-May-00,11.190
31-May-00,11.180
1-Jun-00,11.175
2-Jun-00,11.180
3-Jun-00,11.155
4-Jun-00,11.165
5-Jun-00,11.160
6-Jun-00,11.170
7-Jun-00,11.165
8-Jun-00,11.180
9-Jun-00,11.150
10-Jun-00,11.165
11-Jun-00,11.150
12-Jun-00,11.160
13-Jun-00,11.150
14-Jun-00,11.155
15-Jun-00,11.155
16-Jun-00,11.165
17-Jun-00,11.175
18-Jun-00,11.180
19-Jun-00,11.185
20-Jun-00,11.185
21-Jun-00,11.195
22-Jun-00,11.195
23-Jun-00,11.210
24-Jun-00,11.205
25-Jun-00,11.190
26-Jun-00,11.197
27-Jun-00,11.185
28-Jun-00,11.185
29-Jun-00,11.160
30-Jun-00,11.175
1-Jul-00,11.165
2-Jul-00,11.180
3-Jul-00,11.225
4-Jul-00,11.270
5-Jul-00,11.385
