time,direction,speed,gust
20130101 01,20,4.5,6.4
20130101 02,50,7.4,9
20130101 03,30,7.7,9.3
20130101 04,40,6.1,9.2
20130101 05,40,5.7,9.4
20130101 06,30,5.7,7.9
20130101 07,30,6,8.7
20130101 08,30,4.2,7.3
20130101 09,20,5.7,7.1
20130101 10,30,3.3,6.7
20130101 11,30,2.9,4.9
20130101 12,40,3.7,5
20130101 13,50,4.1,6.1
20130101 14,70,4.4,6.4
20130101 15,80,5.5,6.8
20130101 16,80,3.3,6.9
20130101 17,100,3.6,5.8
20130101 18,90,3.1,5.1
20130101 19,60,2.5,4.2
20130101 20,50,3.7,4.9
20130101 21,70,5.4,6.8
20130101 22,60,5.9,7.4
20130101 23,60,6.1,8.3
20130101 24,40,6.1,8.1
20130102 01,40,5.8,7.6
20130102 02,50,7.2,8.7
20130102 03,50,7.8,9.3
20130102 04,50,6.8,9.3
20130102 05,60,7,8.6
20130102 06,60,8.2,10.2
20130102 07,70,8.4,10.2
20130102 08,50,8.4,10.7
20130102 09,60,8.4,9.8
20130102 10,60,7.9,10.3
20130102 11,50,5.7,9.6
20130102 12,60,5.3,7.1
20130102 13,60,4.5,6.5
20130102 14,40,5.7,7.4
20130102 15,50,4.9,6.8
20130102 16,60,6,6.9
20130102 17,70,6.6,8
20130102 18,60,5.2,7.7
20130102 19,60,5.5,6.2
20130102 20,60,6.2,7
20130102 21,40,5.4,6.9
20130102 22,40,6.1,6.9
20130102 23,60,7.3,8.2
20130102 24,60,8.4,9.5
20130103 01,70,9.3,11
20130103 02,70,9.9,11.8
20130103 03,60,10.4,12.3
20130103 04,50,8.4,12.3
20130103 05,60,8.7,10.9
20130103 06,80,10.7,12.2
20130103 07,80,11,12.9
20130103 08,60,9.3,13.9
20130103 09,40,8.1,11.1
20130103 10,40,7.2,10.1
20130103 11,40,6.9,9.2
20130103 12,50,7.3,9.9
20130103 13,50,6.1,8.6
20130103 14,40,4.9,7.2
20130103 15,30,5.7,7.2
20130103 16,40,5.7,6.9
20130103 17,20,6.9,7.7
20130103 18,20,8,9.7
20130103 19,20,7.8,9.6
20130103 20,30,8.7,9.5
20130103 21,30,7.7,10
20130103 22,20,8.1,9.1
20130103 23,20,8.9,10
20130103 24,20,8.5,9.8
20130104 01,30,8.6,10.1
20130104 02,20,6.3,9.1
20130104 03,20,7.9,9.3
20130104 04,20,8.1,11.6
20130104 05,20,8.2,10.5
20130104 06,20,8.1,11
20130104 07,20,8.6,10
20130104 08,20,8.4,9.8
20130104 09,30,7.4,10.3
20130104 10,30,7.1,9.5
20130104 11,20,6.3,8.7
20130104 12,20,7,9.3
20130104 13,30,5.6,8.7
20130104 14,40,4.4,7.8
20130104 15,30,5.4,8.2
20130104 16,20,6.4,9.7
20130104 17,30,4.8,7.1
20130104 18,20,3.8,7.4
20130104 19,20,2.2,4.3
20130104 20,30,4.6,5.3
20130104 21,30,4.8,5.8
20130104 22,20,4.9,6.3
20130104 23,10,5.3,7.5
20130104 24,10,6,7.2
20130105 01,20,5.4,7.1
20130105 02,10,5.8,7.9
20130105 03,10,7.9,8.9
20130105 04,10,6.8,9.3
20130105 05,20,5.5,8.2
20130105 06,20,4.6,6.7
20130105 07,20,4,5.7
20130105 08,20,4.4,5.4
20130105 09,30,5.5,6.9
20130105 10,30,4.8,7
20130105 11,50,4.4,6
20130105 12,50,3.9,6.6
20130105 13,60,5.3,7
20130105 14,50,6.3,7.7
20130105 15,60,6.3,7.8
20130105 16,60,6.4,8.2
20130105 17,60,6.3,8.1
20130105 18,60,5.7,8.2
20130105 19,60,4.8,7.2
20130105 20,60,5,6.3
20130105 21,30,4.3,6.7
20130105 22,40,4.7,6.2
20130105 23,10,4.5,5.7
20130105 24,10,4.6,5.6
20130106 01,20,4.9,5.8
20130106 02,40,6.5,8.2
20130106 03,30,6.4,8.5
20130106 04,40,6.1,9.1
20130106 05,20,6.1,7.7
20130106 06,30,6.2,7.4
20130106 07,20,6.3,7.6
20130106 08,10,4.5,7
20130106 09,20,5,6.2
20130106 10,20,4.9,6.4
20130106 11,30,4.5,6.3
20130106 12,30,3.6,4.7
20130106 13,350,0.1,4
20130106 14,180,0.7,3.5
20130106 15,160,1.4,2.9
20130106 16,170,0.1,2.6
20130106 17,250,3,4.1
20130106 18,330,0.8,4.1
20130106 19,10,4.2,5.4
20130106 20,10,4.8,5.5
20130106 21,20,4.3,5.5
20130106 22,20,4.3,4.9
20130106 23,10,4.4,5.9
20130106 24,20,3.9,6.1
20130107 01,20,6.8,8
20130107 02,20,5.2,7.6
20130107 03,10,6.6,9.2
20130107 04,10,6.9,8
20130107 05,10,6.9,8.8
20130107 06,10,6.5,8.9
20130107 07,10,7.1,8.2
20130107 08,20,5.5,7.8
20130107 09,10,4.6,6.1
20130107 10,20,5.7,7.1
20130107 11,20,4.6,6
20130107 12,n/,n/a,5.3*
20130107 13,30,1.6,3.7*
20130107 14,50,2.9,4.7
20130107 15,100,3.4,5.3
20130107 16,90,2.8,4.5
20130107 17,60,1.6,3.3
20130107 18,80,3.6,4.7
20130107 19,50,0.5,4.2
20130107 20,360,0.1,0.1
20130107 21,280,0.1,0.2
20130107 22,330,1.6,3.2
20130107 23,360,3.4,4
20130107 24,10,3.2,4.3
20130108 01,10,2.9,4.4
20130108 02,20,3.3,4
20130108 03,350,2.7,4.2
20130108 04,360,0.1,3.1
20130108 05,20,2.2,5.4
20130108 06,20,3.9,4.9
20130108 07,20,5,5.8
20130108 08,30,5.4,6.2
20130108 09,30,6,7.3
20130108 10,40,2.7,6.1
20130108 11,40,2.5,3.9
20130108 12,100,4.6,5.5
20130108 13,70,5.1,6.4
20130108 14,70,4.8,6.2
20130108 15,70,4.2,5.8
20130108 16,70,3.3,5.1
20130108 17,70,2.5,4.7
20130108 18,90,1,3.1
20130108 19,60,0.1,1.4
20130108 20,10,0.1,0.2
20130108 21,30,0.1,0.1
20130108 22,20,1.9,2.6
20130108 23,20,2,2.5
20130108 24,20,2.9,3.4
20130109 01,30,3.7,5.2
20130109 02,30,3.1,4.4
20130109 03,30,4.7,5.4
20130109 04,20,6.4,7.8
20130109 05,50,7.1,8.7
20130109 06,10,4.9,7.9
20130109 07,10,4.8,5.7
20130109 08,20,5.9,7.1
20130109 09,20,8,9.4
20130109 10,20,7.9,10
20130109 11,30,6.4,8.8
20130109 12,20,7,8.5
20130109 13,30,6.2,9
20130109 14,30,5.9,7.4
20130109 15,30,6.4,7.7
20130109 16,30,7.3,8.9
20130109 17,30,7.7,9
20130109 18,30,7,8.7
20130109 19,20,7,8.4
20130109 20,20,8.4,9.8
20130109 21,20,8.6,9.8
20130109 22,20,8.1,9.4
20130109 23,10,7.4,9.9
20130109 24,20,6.3,9.1
20130110 01,10,7.4,8.6
20130110 02,20,7.8,8.8
20130110 03,20,8.2,10.7
20130110 04,20,9.9,11.1
20130110 05,20,9.4,12
20130110 06,30,8.2,10.8
20130110 07,30,9.2,10.4
20130110 08,30,9.4,10.9
20130110 09,20,8,10.1
20130110 10,20,8.1,9.4
20130110 11,30,7.1,9.4
20130110 12,30,7.5,9.1
20130110 13,30,5.1,8.1
