Station;RefDepth;Parameter;Value;Unit;QualityFlag;datetime;Value_mg
W04;3 m;AMON;8.6;umol/l;Acceptable;2014-02-04T10:36:00Z;0.12045761999999999
W04;3 m;NTOT;92;umol/l;Acceptable;2014-02-04T10:36:00Z;1.2886164000000002
W04;3 m;NTRI;0.34;umol/l;Acceptable;2014-02-04T10:36:00Z;0.004762278
W04;3 m;NTRZ;35;umol/l;Acceptable;2014-02-04T10:36:00Z;0.4902345
W04;3 m;PHOS;0.92;umol/l;Acceptable;2014-02-04T10:36:00Z;0.02849586104
W04;3 m;PTOT;2.2;umol/l;Acceptable;2014-02-04T10:36:00Z;0.06814227640000001
W04;3 m;SLCA;20;umol/l;Acceptable;2014-02-04T10:36:00Z;0.56171
W01;3 m;AMON;8.3;umol/l;Acceptable;2014-02-04T13:43:00Z;0.11625561000000002
W01;3 m;NTOT;108;umol/l;Acceptable;2014-02-04T13:43:00Z;1.5127236
W01;3 m;NTRI;0.42;umol/l;Acceptable;2014-02-04T13:43:00Z;0.005882814
W01;3 m;NTRZ;56;umol/l;Acceptable;2014-02-04T13:43:00Z;0.7843752
W01;3 m;PHOS;1.53;umol/l;Acceptable;2014-02-04T13:43:00Z;0.04738985586
W01;3 m;PTOT;1.7;umol/l;Acceptable;2014-02-04T13:43:00Z;0.052655395400000006
W01;3 m;SLCA;32;umol/l;Acceptable;2014-02-04T13:43:00Z;0.898736
S01;3 m;AMON;6;umol/l;Acceptable;2014-02-04T16:27:00Z;0.0840402
S01;3 m;NTOT;112;umol/l;Acceptable;2014-02-04T16:27:00Z;1.5687504
S01;3 m;NTRI;0.48;umol/l;Acceptable;2014-02-04T16:27:00Z;0.006723216
S01;3 m;NTRZ;74;umol/l;Acceptable;2014-02-04T16:27:00Z;1.0364958
S01;3 m;PHOS;1.7;umol/l;Acceptable;2014-02-04T16:27:00Z;0.052655395400000006
S01;3 m;PTOT;1.9;umol/l;Acceptable;2014-02-04T16:27:00Z;0.0588501478
S01;3 m;SLCA;44;umol/l;Acceptable;2014-02-04T16:27:00Z;1.235762
S03;3 m;AMON;5.7;umol/l;Acceptable;2014-02-04T17:31:00Z;0.07983819000000002
S03;3 m;NTOT;162;umol/l;Acceptable;2014-02-04T17:31:00Z;2.2690854
S03;3 m;NTRI;0.63;umol/l;Acceptable;2014-02-04T17:31:00Z;0.008824221
S03;3 m;NTRZ;121;umol/l;Acceptable;2014-02-04T17:31:00Z;1.6948107
S03;3 m;PHOS;5.1;umol/l;Acceptable;2014-02-04T17:31:00Z;0.15796618619999997
S03;3 m;PTOT;2.7;umol/l;Acceptable;2014-02-04T17:31:00Z;0.08362915740000001
S03;3 m;SLCA;68;umol/l;Acceptable;2014-02-04T17:31:00Z;1.9098140000000001
W05;3 m;AMON;3.6;umol/l;Acceptable;2014-02-04T20:33:00Z;0.05042412
W05;3 m;NTOT;49;umol/l;Acceptable;2014-02-04T20:33:00Z;0.6863283
W05;3 m;NTRI;0.248;umol/l;Acceptable;2014-02-04T20:33:00Z;0.0034736616
W05;3 m;NTRZ;18.1;umol/l;Acceptable;2014-02-04T20:33:00Z;0.25352127
W05;3 m;PHOS;0.53;umol/l;Acceptable;2014-02-04T20:33:00Z;0.01641609386
W05;3 m;PTOT;0.89;umol/l;Acceptable;2014-02-04T20:33:00Z;0.02756664818
W05;3 m;SLCA;8.4;umol/l;Acceptable;2014-02-04T20:33:00Z;0.23591820000000002
W06;3 m;AMON;2.7;umol/l;Acceptable;2014-02-04T22:44:00Z;0.037818090000000006
W06;3 m;NTOT;42;umol/l;Acceptable;2014-02-04T22:44:00Z;0.5882814
W06;3 m;NTRI;0.25;umol/l;Acceptable;2014-02-04T22:44:00Z;0.003501675
W06;3 m;NTRZ;18.2;umol/l;Acceptable;2014-02-04T22:44:00Z;0.25492194
W06;3 m;PHOS;0.63;umol/l;Acceptable;2014-02-04T22:44:00Z;0.01951347006
W06;3 m;PTOT;0.83;umol/l;Acceptable;2014-02-04T22:44:00Z;0.02570822246
W06;3 m;SLCA;8.7;umol/l;Acceptable;2014-02-04T22:44:00Z;0.24434384999999997
W07;3 m;AMON;0.33;umol/l;Acceptable;2014-02-24T13:47:00Z;0.004622211
W07;3 m;NTOT;24;umol/l;Acceptable;2014-02-24T13:47:00Z;0.3361608
W07;3 m;NTRI;0.25;umol/l;Acceptable;2014-02-24T13:47:00Z;0.003501675
W07;3 m;NTRZ;17.2;umol/l;Acceptable;2014-02-24T13:47:00Z;0.24091523999999997
W07;3 m;PHOS;0.42;umol/l;Acceptable;2014-02-24T13:47:00Z;0.01300898004
W07;3 m;PTOT;0.7;umol/l;Acceptable;2014-02-24T13:47:00Z;0.0216816334
W07;3 m;SLCA;7.2;umol/l;Acceptable;2014-02-24T13:47:00Z;0.2022156
W04;3 m;AMON;3.2;umol/l;Acceptable;2014-02-24T15:31:00Z;0.044821440000000004
W04;3 m;NTOT;58;umol/l;Acceptable;2014-02-24T15:31:00Z;0.8123886
W04;3 m;NTRI;0.42;umol/l;Acceptable;2014-02-24T15:31:00Z;0.005882814
W04;3 m;NTRZ;48;umol/l;Acceptable;2014-02-24T15:31:00Z;0.6723216
W04;3 m;PHOS;0.96;umol/l;Acceptable;2014-02-24T15:31:00Z;0.02973481152
W04;3 m;PTOT;1.26;umol/l;Acceptable;2014-02-24T15:31:00Z;0.03902694012
W04;3 m;SLCA;26;umol/l;Acceptable;2014-02-24T15:31:00Z;0.730223
W09;3 m;AMON;0.23;umol/l;Acceptable;2014-02-24T18:32:00Z;0.003221541
W09;3 m;NTOT;15.8;umol/l;Acceptable;2014-02-24T18:32:00Z;0.22130586000000002
W09;3 m;NTRI;0.132;umol/l;Acceptable;2014-02-24T18:32:00Z;0.0018488844000000002
W09;3 m;NTRZ;10.5;umol/l;Acceptable;2014-02-24T18:32:00Z;0.14707035
W09;3 m;PHOS;0.41;umol/l;Acceptable;2014-02-24T18:32:00Z;0.01269924242
W09;3 m;PTOT;0.67;umol/l;Acceptable;2014-02-24T18:32:00Z;0.020752420540000004
W09;3 m;SLCA;4.5;umol/l;Acceptable;2014-02-24T18:32:00Z;0.12638475
W10;3 m;AMON;0.61;umol/l;Acceptable;2014-02-24T20:17:00Z;0.008544086999999999
W10;3 m;NTOT;16.3;umol/l;Acceptable;2014-02-24T20:17:00Z;0.22830921
W10;3 m;NTRI;0.105;umol/l;Acceptable;2014-02-24T20:17:00Z;0.0014707035
W10;3 m;NTRZ;10.3;umol/l;Acceptable;2014-02-24T20:17:00Z;0.14426901
W10;3 m;PHOS;0.33;umol/l;Acceptable;2014-02-24T20:17:00Z;0.010221341460000002
W10;3 m;PTOT;0.73;umol/l;Acceptable;2014-02-24T20:17:00Z;0.022610846259999998
W10;3 m;SLCA;4.5;umol/l;Acceptable;2014-02-24T20:17:00Z;0.12638475
W02;3 m;AMON;2.6;umol/l;Acceptable;2014-02-25T17:07:00Z;0.03641742
W02;3 m;NTOT;40;umol/l;Acceptable;2014-02-25T17:07:00Z;0.560268
W02;3 m;NTRI;0.41;umol/l;Acceptable;2014-02-25T17:07:00Z;0.0057427469999999994
W02;3 m;NTRZ;33;umol/l;Acceptable;2014-02-25T17:07:00Z;0.46222110000000005
W02;3 m;PHOS;0.7;umol/l;Acceptable;2014-02-25T17:07:00Z;0.0216816334
W02;3 m;PTOT;0.93;umol/l;Acceptable;2014-02-25T17:07:00Z;0.02880559866
W02;3 m;SLCA;15;umol/l;Acceptable;2014-02-25T17:07:00Z;0.42128249999999995
W03;3 m;AMON;2.5;umol/l;Acceptable;2014-02-25T18:07:00Z;0.03501675
W03;3 m;NTOT;44;umol/l;Acceptable;2014-02-25T18:07:00Z;0.6162948
W03;3 m;NTRI;0.31;umol/l;Acceptable;2014-02-25T18:07:00Z;0.004342077
W03;3 m;NTRZ;35;umol/l;Acceptable;2014-02-25T18:07:00Z;0.4902345
W03;3 m;PHOS;0.52;umol/l;Acceptable;2014-02-25T18:07:00Z;0.01610635624
W03;3 m;PTOT;0.97;umol/l;Acceptable;2014-02-25T18:07:00Z;0.03004454914
W03;3 m;SLCA;16;umol/l;Acceptable;2014-02-25T18:07:00Z;0.449368
W08;3 m;AMON;0.23;umol/l;Acceptable;2014-02-25T21:17:00Z;0.003221541
W08;3 m;NTOT;16.4;umol/l;Acceptable;2014-02-25T21:17:00Z;0.22970988
W08;3 m;NTRI;0.129;umol/l;Acceptable;2014-02-25T21:17:00Z;0.0018068643000000001
W08;3 m;NTRZ;11.5;umol/l;Acceptable;2014-02-25T21:17:00Z;0.16107705000000003
W08;3 m;PHOS;0.45;umol/l;Acceptable;2014-02-25T21:17:00Z;0.0139381929
W08;3 m;PTOT;0.67;umol/l;Acceptable;2014-02-25T21:17:00Z;0.020752420540000004
W08;3 m;SLCA;4.9;umol/l;Acceptable;2014-02-25T21:17:00Z;0.13761895000000002
W04;3 m;AMON;1.8;umol/l;Acceptable;2014-04-01T13:55:00Z;0.02521206
W04;3 m;NTOT;29;umol/l;Acceptable;2014-04-01T13:55:00Z;0.4061943
W04;3 m;NTRI;0.175;umol/l;Acceptable;2014-04-01T13:55:00Z;0.0024511725
