StationName;Estuary;Comment;WQStation;Depth;afstand tot Vlissingen/Breskens volgens Google Earth;Volgens OMES;WQ station;latitude;longitude;
Breskens;Westerschelde;Komberg: Vak 14 (RWS-notitie GWAO-88.1314);WS1;13.7;0;0;WS1;51.41265;3.56628;Westerschelde
Vlissingen;Westerschelde;Komberg: Vak 14 (RWS-notitie GWAO-88.1314);WS1;;0;0;WS1;51.41265;3.56628;Westerschelde
Borsele;Westerschelde;Komberg: Vak 14 (RWS-notitie GWAO-88.1314);WS3;13.7;9.3;;WS3;51.4172;3.69982;Westerschelde
Terneuzen;Westerschelde;Komberg: Vak 13 (RWS-notitie GWAO-88.1314);WS4;12;20.12;19;WS4;51.34888;3.82437;Westerschelde
Hoedekenskerke;Westerschelde;Komberg: Vak 11 (RWS-notitie GWAO-88.1314);WS5;9;33.6;30;WS5;51.41733;3.9214;Westerschelde
Hansweert;Westerschelde;Komberg: Vak 10 (RWS-notitie GWAO-88.1314);WS6;11.9;38.18;35;WS6;51.43597;4.01965;Westerschelde
Perkpolder;Westerschelde;Komberg: Vak 10 (RWS-notitie GWAO-88.1314);WS8;11.9;42.61;;WS8;51.40118;4.03735;Westerschelde
Baalhoek;Westerschelde;Komberg: Vak 8+9 (RWS-notitie GWAO-88.1314);WS9;6.7;47.98;37;WS9;51.37145;4.08503;Westerschelde
Bath;Westerschelde;Komberg: Vak 6+7 (RWS-notitie GWAO-88.1314);WS10;8;58.03;51;WS10;51.39227;4.20527;Westerschelde
Zandvliet;Westerschelde;Komberg: Vak 5 (RWS-notitie GWAO-88.1314);WS11;9;63.4;58;WS11;51.3503;4.24122;Westerschelde
Lillo;Westerschelde;Komberg: Vak 4 (RWS-notitie GWAO-88.1314);WS12;10.1;69.75;;WS12;51.2979;4.28232;Westerschelde
Boei 105;Westerschelde;Komberg: Vak 3 (RWS-notitie GWAO-88.1314);WS13;9.7;77.59;;WS13;51.25148;4.3205;Westerschelde
Antwerpen;Westerschelde;Komberg: Vak 2 (RWS-notitie GWAO-88.1314);WS14;9.7;84.35;78;WS14;51.22493;4.39357;Westerschelde
Hoboken;Westerschelde;Komberg: Vak 2 (RWS-notitie GWAO-88.1314);WS15;9.7;91.94;;WS15;51.17525;4.32642;Westerschelde
Rupelmonde;Westerschelde;Komberg: Vak 1 (RWS-notitie GWAO-88.1314);WS16;;97.75;;WS16;51.12912;4.31897;Westerschelde
Temse;Westerschelde;Geen komberging;WS17;;104.41;;WS17;51.11913;4.22827;Westerschelde
Boom;Rupel;;OM9;;104.78;98;OM9;51.08795;4.353944;Rupel
Lippenbroek estuarien;Zeeschelde;;OM13;;110.54;104;OM13;51.08772;4.174363;Zeeschelde
Dijle estuarien;Dijle;;OM27;;110.85;105;OM27;51.06983;4.42389;Dijle
Beneden-Nete;Nete;;OM11;;113.41;;OM11; 51.071820°;4.44852;Nete
Dendermonde;Zeeschelde;;OM18;;127.94;121;OM18;51.03485;4.105823;Zeeschelde
Appels;Zeeschelde;;OM20;;135.07;128;OM20;51.02952;4.041207;Zeeschelde
Uitbergen;Zeeschelde;;OM21;;144.49;138;OM21;51.01307;3.959413;Zeeschelde
Melle;Zeeschelde;;OM23;;157.8;151;OM23;51.00566;3.803778;Zeeschelde
Roompot 18;Oosterschelde;Komberg: Vak III (RWS-notitie GWAO-86.409);OS1;12.2;4.6;;OS1;51.61157;3.75945;Oosterschelde
Roompot 22/24;Oosterschelde;Komberg: Vak III (RWS-notitie GWAO-86.409);OS1;12.2;4.6;;OS1;51.61157;3.75945;Oosterschelde
Hammen;Oosterschelde;Komberg: Vak III (RWS-notitie GWAO-86.409);OS10;12.1;;;OS10;51.682283;3.7774;Oosterschelde
Zeelandbrug;Oosterschelde;Komberg: Vak II (RWS-notitie GWAO-86.409);OS2;10.4;13.7;;OS2;51.59525;3.88980;Oosterschelde
Oosterschelde-Zandkreek;Oosterschelde;Komberg: Vak II (RWS-notitie GWAO-86.409);OS3;10.4;19.2;;OS3;51.54735;3.92677;Oosterschelde
Keeten - Krabbekreek;Oosterschelde;Komberg: Vak IV (RWS-notitie GWAO-86.409);OS5;8.2;27.9;;OS5;51.62462;4.07907;Oosterschelde
Oosterschelde - Schaar van Yerseke;Oosterschelde;Komberg: Vak II (RWS-notitie GWAO-86.409);OS7;10.4;29.06;;OS7;51.52227;4.04017;Oosterschelde
Lodewijkse gat - Pietermanskreek;Oosterschelde;Komberg: Vak I-zonder (RWS-notitie GWAO-86.409);OS8;4.1;34;;OS8;51.49048;4.13760;Oosterschelde
