latitude,longitude,depth,datetime,value,parametername,dataprovider,datasettitle,stationname,unit,valuesign
51.40088,3.962581,,2013-11-06T01:00:00,2.2,"Gloeirest in % Natgewicht in Organisme (biota)","RWS - Rijkswaterstaat","MWTL biological monitoring network Westerschelde",Knuitershoek,%,
51.40088,3.962581,,2013-11-06T01:00:00,2.4,"Gloeirest in % Natgewicht in Organisme (biota)","RWS - Rijkswaterstaat","MWTL biological monitoring network Westerschelde",Knuitershoek,%,
51.40088,3.962581,,2013-11-06T01:00:00,2.5,"Gloeirest in % Natgewicht in Organisme (biota)","RWS - Rijkswaterstaat","MWTL biological monitoring network Westerschelde",Knuitershoek,%,
51.40088,3.962581,,2013-11-06T01:00:00,2.1,"Gloeirest in % Natgewicht in Organisme (biota)","RWS - Rijkswaterstaat","MWTL biological monitoring network Westerschelde",Knuitershoek,%,
51.40088,3.962581,,2015-10-01T02:00:00,3.9,"Gloeirest in % Natgewicht in Organisme (biota)","RWS - Rijkswaterstaat","MWTL biological monitoring network Westerschelde",Knuitershoek,%,
51.40088,3.962581,,2015-10-01T02:00:00,3.1,"Gloeirest in % Natgewicht in Organisme (biota)","RWS - Rijkswaterstaat","MWTL biological monitoring network Westerschelde",Knuitershoek,%,
51.40088,3.962581,,2015-10-01T02:00:00,3,"Gloeirest in % Natgewicht in Organisme (biota)","RWS - Rijkswaterstaat","MWTL biological monitoring network Westerschelde",Knuitershoek,%,
51.40088,3.962581,,2015-10-01T02:00:00,3.2,"Gloeirest in % Natgewicht in Organisme (biota)","RWS - Rijkswaterstaat","MWTL biological monitoring network Westerschelde",Knuitershoek,%,
51.40088,3.962581,,2014-10-09T02:00:00,2.7,"Gloeirest in % Natgewicht in Organisme (biota)","RWS - Rijkswaterstaat","MWTL biological monitoring network Westerschelde",Knuitershoek,%,
51.40088,3.962581,,2014-10-09T02:00:00,2.6,"Gloeirest in % Natgewicht in Organisme (biota)","RWS - Rijkswaterstaat","MWTL biological monitoring network Westerschelde",Knuitershoek,%,
51.40088,3.962581,,2014-10-09T02:00:00,2.7,"Gloeirest in % Natgewicht in Organisme (biota)","RWS - Rijkswaterstaat","MWTL biological monitoring network Westerschelde",Knuitershoek,%,
51.40088,3.962581,,2014-10-09T02:00:00,2.6,"Gloeirest in % Natgewicht in Organisme (biota)","RWS - Rijkswaterstaat","MWTL biological monitoring network Westerschelde",Knuitershoek,%,
51.4,3.96,,2011-10-26T02:00:00,3.3,"Gloeirest in % Natgewicht in Organisme (biota)","RWS - Rijkswaterstaat","MWTL biological monitoring network Westerschelde",Knuitershoek,%,
51.4,3.96,,2011-10-26T02:00:00,2.8,"Gloeirest in % Natgewicht in Organisme (biota)","RWS - Rijkswaterstaat","MWTL biological monitoring network Westerschelde",Knuitershoek,%,
51.4,3.96,,2011-10-26T02:00:00,2.6,"Gloeirest in % Natgewicht in Organisme (biota)","RWS - Rijkswaterstaat","MWTL biological monitoring network Westerschelde",Knuitershoek,%,
