WAT_Id;btxoms;btccod;btlcod;sgkcod;sgkoms;KROSPAR;OSPAR;OSPAR_EUC;Trofie;DiatomeeFlagellaat;DiatDinoOverig;Fylum;Klasse;GenusPlus;ID_old;GEEL;Ecologische informatie;Opmerkingen;btxoms1990;sgkcod1990;btxoms1993;sgkcod1993;btxoms1994;sgkcod1994;btxoms1999;sgkcod1999;btxoms2003;sgkcod2003;BIOVLME_;BIOMSA_;CHLFa_
295;Achnanthes;5232301000;ACHNSPEC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Achnanthes;1;0;benthische soort;Pennate diatomee, vermoedelijk niet juist gedetermineerd, in 4): pennate diatomee van grootteklasse >10 æm b. <50 æm l. of >50 æm l.;Pennales;BLU4;Pennales;BLU4;Pennales;BLU1;Pennales;BLU4;Achnanthes;NVT;1571;;50
296;Achnanthes brevipes;5232301050;ACHNBREV;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Achnanthes;2;0;benthische soort;;Pennales;BLU4;Pennales;BLU4;Pennales;BLU4;Pennales;BLU4;Achnanthes brevipes;NVT;10908;;50
27;Actinastrum;5115201000;ACNASPEC;NVT;Niet van toepassing;;;;fototroof;;Overig;Chlorophyta;Chlorophyceae;Actinastrum;3;0;zoetwatersoort;Chlorophyceae uit zoet water afkomstig. In 1) niet geteld, in 2b) niet waargenomen of geteld als chlorophyceae;niet geteld;NVT;niet geteld;NVT;Chlorophyceae;NVT;Chlorophyceae;NVT;Actinastrum;NVT;110;;50
28;Actinastrum hantzschii;5115201030;ACNAHANT;NVT;Niet van toepassing;;;;fototroof;;Overig;Chlorophyta;Chlorophyceae;Actinastrum;4;0;zoetwatersoort;Samenvoegen met Actinastrum;niet geteld;NVT;niet geteld;NVT;Chlorophyceae;NVT;Chlorophyceae;NVT;Actinastrum;NVT;110;;50
547;Actiniscus pentasterias;5257101010;ACNIPENT;NVT;Niet van toepassing;;;;heterotroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Actiniscus;5;0;off-shore;Deze dinoflagellaat kan sinds 2000 worden geteld, was in 1) geteld als bol indet of dinophyceae (heterotroof) of Gymnodinium, in 2b) niet waargenomen;Dinophyceae;NVT;Dinophyceae;NVT;Dinophyceae;NVT;Dinophyceae;NVT;Actiniscus pentasterias;NVT;7069;;50
156;Actinocyclus;5231301000;ACCYSPEC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Actinocyclus;6;0;;mogelijk A. octonarius;Centrales;DUG50;Centrales;DUG50;Centrales;DUG50;Centrales;DUG50;Actinocyclus;NVT;29452;;50
157;Actinocyclus cholnokyi;5231301010;ACCYCHOL;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Actinocyclus;7;0;;Zeer onwaarschijnlijke identificatie;Centrales;DU030050;Centrales;DU030050;Centrales;DU030050;Centrales;DU030050;Actinocyclus cholnokyi;NVT;29452;;50
159;Actinocyclus normanii;5231301030;ACCYNORM;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Actinocyclus;8;0;zoetwatersoort;centrale diatomee afkomstig uit zoet water, vermoedelijk in 3) als centrale diatomee 10-30 æm geteld;Centrales;DU030050;Centrales;DU030050;Centrales;DU030050;Centrales;DU030050;Actinocyclus normanii;NVT;6786;;50
158;Actinocyclus octonarius;5231301020;ACCYOCTO;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Actinocyclus;9;0;;centrale diatomee afkomstig uit zoet water, vermoedelijk in 3) soms als centrale diatomee >30 æm geteld;Centrales;DUG50;Centrales;DUG50;Centrales;DUG50;Centrales;DUG50;Actinocyclus octonarius;NVT;142550;;50
155;Actinoptychus senarius;5231201020;ACPTSENA;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Actinoptychus;10;1;kust en estuarien;;Actinoptychus senarius;NVT;Actinoptychus senarius;NVT;Actinoptychus senarius;NVT;Actinoptychus senarius;NVT;Actinoptychus senarius;NVT;49087;;50
