Campaign	Event	SampleNr	StartTime	EndTime	TimeFlag	Station	AreaType	StartLat	StartLon	EndLat	EndLon	PosFlag	Datum	WaterDepth	RefDepth	SDepth	SDepthFlag	Gear	Number	Parameter	Matrix	RepNr	Value	Unit	DetlimFlag	QualityFlag	Method	AnalysisDate	Project	Remarks	Acknowledgments
BE2010/01A	2010-01-25 21:04	76953	2010-01-25 21:04		Acceptable	W07	O	51.58333333	3.008333333			Reference	WGS84		3 m		Missing	NI10		AMON	DI	1	5.5	µmol/l		Acceptable	1		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-25 21:04	76901	2010-01-25 21:04		Acceptable	W07	O	51.58333333	3.008333333			Reference	WGS84		3 m		Missing	NI5		DOC	DI	1	2.6	mg/l		Acceptable	22		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-25 21:04	76901	2010-01-25 21:04		Acceptable	W07	O	51.58333333	3.008333333			Reference	WGS84		3 m		Missing	NI5		NTOT	DI	1	60	µmol/l		Acceptable	20		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-25 21:04	76953	2010-01-25 21:04		Acceptable	W07	O	51.58333333	3.008333333			Reference	WGS84		3 m		Missing	NI10		NTRA	DI	1	26.11	µmol/l		Acceptable	4		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-25 21:04	76953	2010-01-25 21:04		Acceptable	W07	O	51.58333333	3.008333333			Reference	WGS84		3 m		Missing	NI10		NTRZ	DI	1	26.7	µmol/l		Acceptable	2		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-25 21:04	76901	2010-01-25 21:04		Acceptable	W07	O	51.58333333	3.008333333			Reference	WGS84		3 m		Missing	NI5		PN	PA	1	0.084	mg/l		Acceptable	25		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-25 21:04	76901	2010-01-25 21:04		Acceptable	W07	O	51.58333333	3.008333333			Reference	WGS84		3 m		Missing	NI5		POC	PA	1	0.88	mg/l		Acceptable	23		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-25 21:04	76953	2010-01-25 21:04		Acceptable	W07	O	51.58333333	3.008333333			Reference	WGS84		3 m		Missing	NI10		PSAL	TO	1	33.5351	ppt		Suspect	13		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-25 21:04	76901	2010-01-25 21:04		Acceptable	W07	O	51.58333333	3.008333333			Reference	WGS84		3 m		Missing	NI5		PTOT	DI	1	1.1	µmol/l		Acceptable	21		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-25 21:04	76953	2010-01-25 21:04		Acceptable	W07	O	51.58333333	3.008333333			Reference	WGS84		3 m		Missing	NI10		SLCA	DI	1	13.3	µmol/l		Acceptable	6		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-25 21:04	76901	2010-01-25 21:04		Acceptable	W07	O	51.58333333	3.008333333			Reference	WGS84		3 m		Missing	NI5		SUSP	PA	1	6.13	mg/l		Acceptable	7		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-25 21:04	76901	2010-01-25 21:04		Acceptable	W07	O	51.58333333	3.008333333			Reference	WGS84		3 m		Missing	NI5		TOC	TO	1	3.48	mg/l		Acceptable	24		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-26 22:51	76951	2010-01-26 22:51		Acceptable	W05	C	51.41666667	2.808333333			Reference	WGS84		3 m		Missing	NI10		AMON	DI	1	3.9	µmol/l		Acceptable	1		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-26 22:51	76899	2010-01-26 22:51		Acceptable	W05	C	51.41666667	2.808333333			Reference	WGS84		3 m		Missing	NI5		DOC	DI	1	2	mg/l		Acceptable	22		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-26 22:51	76899	2010-01-26 22:51		Acceptable	W05	C	51.41666667	2.808333333			Reference	WGS84		3 m		Missing	NI5		NTOT	DI	1	49	µmol/l		Acceptable	20		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-26 22:51	76951	2010-01-26 22:51		Acceptable	W05	C	51.41666667	2.808333333			Reference	WGS84		3 m		Missing	NI10		NTRA	DI	1	28.52	µmol/l		Acceptable	4		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-26 22:51	76951	2010-01-26 22:51		Acceptable	W05	C	51.41666667	2.808333333			Reference	WGS84		3 m		Missing	NI10		NTRZ	DI	1	29.1	µmol/l		Acceptable	2		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-26 22:51	76899	2010-01-26 22:51		Acceptable	W05	C	51.41666667	2.808333333			Reference	WGS84		3 m		Missing	NI5		PN	PA	1	0.062	mg/l		Acceptable	25		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-26 22:51	76899	2010-01-26 22:51		Acceptable	W05	C	51.41666667	2.808333333			Reference	WGS84		3 m		Missing	NI5		POC	PA	1	0.54	mg/l		Acceptable	23		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-26 22:51	76951	2010-01-26 22:51		Acceptable	W05	C	51.41666667	2.808333333			Reference	WGS84		3 m		Missing	NI10		PSAL	TO	1	33.2371	ppt		Suspect	13		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-26 22:51	76899	2010-01-26 22:51		Acceptable	W05	C	51.41666667	2.808333333			Reference	WGS84		3 m		Missing	NI5		PTOT	DI	1	1.1	µmol/l		Acceptable	21		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-26 22:51	76951	2010-01-26 22:51		Acceptable	W05	C	51.41666667	2.808333333			Reference	WGS84		3 m		Missing	NI10		SLCA	DI	1	14.3	µmol/l		Acceptable	6		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-26 22:51	76899	2010-01-26 22:51		Acceptable	W05	C	51.41666667	2.808333333			Reference	WGS84		3 m		Missing	NI5		SUSP	PA	1	5.17	mg/l		Acceptable	7		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-26 22:51	76899	2010-01-26 22:51		Acceptable	W05	C	51.41666667	2.808333333			Reference	WGS84		3 m		Missing	NI5		TOC	TO	1	2.54	mg/l		Acceptable	24		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 06:55	76947	2010-01-27 06:55		Acceptable	W01	C	51.375	3.1875			Reference	WGS84		3 m		Missing	NI10		AMON	DI	1	6.8	µmol/l		Acceptable	1		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 06:55	76896	2010-01-27 06:55		Acceptable	W01	C	51.375	3.1875			Reference	WGS84		3 m		Missing	NI5		CPHL	PA	1	0.06	µg/l	<	Acceptable	257		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 06:55	76896	2010-01-27 06:55		Acceptable	W01	C	51.375	3.1875			Reference	WGS84		3 m		Missing	NI5		DOC	DI	1	1.7	mg/l		Acceptable	22		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 06:55	76896	2010-01-27 06:55		Acceptable	W01	C	51.375	3.1875			Reference	WGS84		3 m		Missing	NI5		NTOT	DI	1	69	µmol/l		Acceptable	20		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 06:55	76947	2010-01-27 06:55		Acceptable	W01	C	51.375	3.1875			Reference	WGS84		3 m		Missing	NI10		NTRA	DI	1	54.49	µmol/l		Acceptable	4		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 06:55	76947	2010-01-27 06:55		Acceptable	W01	C	51.375	3.1875			Reference	WGS84		3 m		Missing	NI10		NTRZ	DI	1	55	µmol/l		Acceptable	2		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 06:55	76896	2010-01-27 06:55		Acceptable	W01	C	51.375	3.1875			Reference	WGS84		3 m		Missing	NI5		PHATL	PA	1	0.02	µg/l	<	Acceptable	258		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 06:55	76896	2010-01-27 06:55		Acceptable	W01	C	51.375	3.1875			Reference	WGS84		3 m		Missing	NI5		PN	PA	1	0.17	mg/l		Acceptable	25		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 06:55	76896	2010-01-27 06:55		Acceptable	W01	C	51.375	3.1875			Reference	WGS84		3 m		Missing	NI5		POC	PA	1	1.4	mg/l		Acceptable	23		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 06:55	76947	2010-01-27 06:55		Acceptable	W01	C	51.375	3.1875			Reference	WGS84		3 m		Missing	NI10		PSAL	TO	1	30.3894	ppt		Suspect	13		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 06:55	76896	2010-01-27 06:55		Acceptable	W01	C	51.375	3.1875			Reference	WGS84		3 m		Missing	NI5		PTOT	DI	1	1.6	µmol/l		Acceptable	21		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 06:55	76947	2010-01-27 06:55		Acceptable	W01	C	51.375	3.1875			Reference	WGS84		3 m		Missing	NI10		SLCA	DI	1	37	µmol/l		Acceptable	6		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 06:55	76896	2010-01-27 06:55		Acceptable	W01	C	51.375	3.1875			Reference	WGS84		3 m		Missing	NI5		SUSP	PA	1	40.67	mg/l		Acceptable	7		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 06:55	76896	2010-01-27 06:55		Acceptable	W01	C	51.375	3.1875			Reference	WGS84		3 m		Missing	NI5		TOC	TO	1	3.1	mg/l		Acceptable	24		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 09:46	76950	2010-01-27 09:46		Acceptable	W04	C	51.41833333	3.2525			Reference	WGS84		3 m		Missing	NI10		AMON	DI	1	5.9	µmol/l		Acceptable	1		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 09:46	76898	2010-01-27 09:46		Acceptable	W04	C	51.41833333	3.2525			Reference	WGS84		3 m		Missing	NI5		DOC	DI	1	1.42	mg/l		Acceptable	22		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 09:46	76898	2010-01-27 09:46		Acceptable	W04	C	51.41833333	3.2525			Reference	WGS84		3 m		Missing	NI5		NTOT	DI	1	55	µmol/l		Acceptable	20		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 09:46	76950	2010-01-27 09:46		Acceptable	W04	C	51.41833333	3.2525			Reference	WGS84		3 m		Missing	NI10		NTRA	DI	1	46.46	µmol/l		Acceptable	4		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 09:46	76950	2010-01-27 09:46		Acceptable	W04	C	51.41833333	3.2525			Reference	WGS84		3 m		Missing	NI10		NTRZ	DI	1	47	µmol/l		Acceptable	2		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 09:46	76898	2010-01-27 09:46		Acceptable	W04	C	51.41833333	3.2525			Reference	WGS84		3 m		Missing	NI5		PN	PA	1	0.25	mg/l		Acceptable	25		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 09:46	76898	2010-01-27 09:46		Acceptable	W04	C	51.41833333	3.2525			Reference	WGS84		3 m		Missing	NI5		POC	PA	1	2	mg/l		Acceptable	23		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 09:46	76950	2010-01-27 09:46		Acceptable	W04	C	51.41833333	3.2525			Reference	WGS84		3 m		Missing	NI10		PSAL	TO	1	31.5146	ppt		Suspect	13		MONIT_SEAWATER_MUMM		
BE2010/01A	2010-01-27 09:46	76898	2010-01-27 09:46		Acceptable	W04	C	51.41833333	3.2525			Reference	WGS84		3 m		Missing	NI5		PTOT	DI	1	1.5	µmol/l		Acceptable	21		MONIT_SEAWATER_MUMM		
