speciesname_original;modified;speciesname_corrected;AphiaID;Match type;LSID;TSN;ScientificName;Authority;Qualitystatus;Taxon status;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial;Citation;;;;;;;;;;;;;;;;;;;;;
Actinoptychus senarius;;Actinoptychus senarius;148948;exact;urn:lsid:marinespecies.org:taxname:148948;2620;Actinoptychus senarius;(Ehrenberg) Ehrenberg, 1843;Edited by Database Management Team;alternate representation;162810;Actinocyclus senarius;Ehrenberg, 1838;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Heliopeltaceae;Actinoptychus;;senarius;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Actinoptychus senarius (Ehrenberg) Ehrenberg, 1843. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148948 on 2019-01-31;;
Ondetermineerbare alg;;Ondetermineerbare alg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amphora;;Amphora;149200;exact;urn:lsid:marinespecies.org:taxname:149200;4705;Amphora;C.G. Ehrenberg ex F.T. Kützing, 1844;Checked by Taxonomic Editor;accepted;149200;Amphora;C.G. Ehrenberg ex F.T. Kützing, 1844;Chromista;Ochrophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;;;;1;1;1;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Amphora C.G. Ehrenberg ex F.T. Kützing, 1844. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149200 on 2019-01-31;;
Aulacoseira granulata;;Aulacoseira granulata;148961;exact;urn:lsid:marinespecies.org:taxname:148961;591207;Aulacoseira granulata;(Ehrenberg) Simonsen, 1979;Checked by Taxonomic Editor;accepted;148961;Aulacoseira granulata;(Ehrenberg) Simonsen, 1979;Chromista;Ochrophyta;Bacillariophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;;granulata;;0;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Aulacoseira granulata (Ehrenberg) Simonsen, 1979. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=148961 on 2019-01-31;;
Brockmanniella brockmannii;;Brockmanniella brockmannii;149137;exact;urn:lsid:marinespecies.org:taxname:149137;;Brockmanniella brockmannii;(Hustedt) Hasle, Stosch & Syvertsen, 1983;Edited by Database Management Team;alternate representation;971564;Plagiogramma brockmanni var. brockmanni;Hustedt, 1939;Chromista;Ochrophyta;Bacillariophyceae;Cymatosirales;Cymatosiraceae;Brockmanniella;;brockmannii;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Brockmanniella brockmannii (Hustedt) Hasle, Stosch & Syvertsen, 1983. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149137 on 2019-01-31;;
Cerataulina pelagica;;Cerataulina pelagica;149619;exact;urn:lsid:marinespecies.org:taxname:149619;2755;Cerataulina pelagica;(Cleve) Hendey, 1937;Edited by Database Management Team;alternate representation;961694;Cerataulina bergonii;Ostenfeld, 1903;Chromista;Ochrophyta;Bacillariophyceae;Hemiaulales;Hemiaulaceae;Cerataulina;;pelagica;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Cerataulina pelagica (Cleve) Hendey, 1937. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149619 on 2019-01-31;;
Centrales;;Centrales;341285;exact;urn:lsid:marinespecies.org:taxname:341285;2288;Centrales;;Edited by Database Management Team;accepted;341285;Centrales;;Chromista;Ochrophyta;Bacillariophyceae;Centrales;;;;;;;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Centrales. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=341285 on 2019-01-31;;
Chrysomonadales;x;Chromobiota;368660;exact;urn:lsid:marinespecies.org:taxname:368660;;Chromobiota;;Checked by Taxonomic Editor;unaccepted;;;;Chromista;;;;;;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Chromobiota. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=368660 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Coscinodiscus concinnus;;Coscinodiscus concinnus;148992;exact;urn:lsid:marinespecies.org:taxname:148992;2555;Coscinodiscus concinnus;W.Smith, 1856;Edited by Database Management Team;accepted;148992;Coscinodiscus concinnus;W.Smith, 1856;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;;concinnus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Coscinodiscus concinnus W.Smith, 1856. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148992 on 2019-01-31;;
Ditylum brightwellii;;Ditylum brightwellii;149023;exact;urn:lsid:marinespecies.org:taxname:149023;2928;Ditylum brightwellii;(T.West) Grunow, 1885;Edited by Database Management Team;uncertain;149023;Ditylum brightwellii;(T.West) Grunow, 1885;Chromista;Ochrophyta;Bacillariophyceae;Lithodesmiales;Lithodesmiaceae;Ditylum;;brightwellii;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Ditylum brightwellii (T.West) Grunow, 1885. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149023 on 2019-01-31;;
