,1,2,3,4,5
01-jan-2014 00:00, 5634, 1128,   69,10098, 1008
01-jan-2014 00:10, 5721, 1144,   69,10253, 1008
01-jan-2014 00:20, 5890, 1175,   69,10554, 1008
01-jan-2014 00:30, 6114, 1216,   69,10952, 1009
01-jan-2014 00:40, 6320, 1250,   68,11317, 1009
01-jan-2014 00:50, 6618, 1304,   68,11846, 1009
01-jan-2014 01:00, 6851, 1346,   68,12260, 1010
01-jan-2014 01:10, 6996, 1372,   68,12517, 1010
01-jan-2014 01:20, 7146, 1395,   67,12781, 1010
01-jan-2014 01:30, 7252, 1414,   67,12970, 1010
01-jan-2014 01:40, 7404, 1441,   67,13239, 1010
01-jan-2014 01:50, 7505, 1459,   67,13418, 1010
01-jan-2014 02:00, 7613, 1478,   67,13608, 1011
01-jan-2014 02:10, 7833, 1517,   67,13998, 1011
01-jan-2014 02:20, 7935, 1535,   67,14178, 1011
01-jan-2014 02:30, 8049, 1555,   67,14379, 1011
01-jan-2014 02:40, 8225, 1586,   67,14690, 1011
01-jan-2014 02:50, 8117, 1567,   67,14499, 1011
01-jan-2014 03:00, 7432, 1446,   67,13289, 1010
01-jan-2014 03:10, 7438, 1447,   67,13299, 1010
01-jan-2014 03:20, 7489, 1456,   67,13388, 1010
01-jan-2014 03:30, 7342, 1430,   67,13129, 1010
01-jan-2014 03:40, 7415, 1443,   67,13259, 1010
01-jan-2014 03:50, 7331, 1428,   67,13109, 1010
01-jan-2014 04:00, 7156, 1393,   66,12799, 1010
01-jan-2014 04:10, 7099, 1383,   66,12699, 1010
01-jan-2014 04:20, 7043, 1373,   66,12600, 1010
01-jan-2014 04:30, 6909, 1349,   66,12361, 1010
01-jan-2014 04:40, 6763, 1323,   66,12104, 1009
01-jan-2014 04:50, 6613, 1296,   66,11837, 1009
01-jan-2014 05:00, 6462, 1269,   66,11570, 1009
01-jan-2014 05:10, 6296, 1239,   66,11275, 1009
01-jan-2014 05:20, 6091, 1202,   66,10911, 1009
01-jan-2014 05:30, 5920, 1171,   66,10607, 1008
01-jan-2014 05:40, 5788, 1147,   66,10373, 1008
01-jan-2014 05:50, 5662, 1124,   66,10148, 1008
01-jan-2014 06:00, 5520, 1098,   66, 9895, 1008
01-jan-2014 06:10, 5350, 1064,   65, 9593, 1008
01-jan-2014 06:20, 5279, 1051,   65, 9466, 1007
01-jan-2014 06:30, 5229, 1039,   64, 9377, 1007
01-jan-2014 06:40, 4976,  990,   63, 8928, 1007
01-jan-2014 06:50, 5020,  998,   63, 9005, 1007
01-jan-2014 07:00, 5053, 1004,   63, 9064, 1007
01-jan-2014 07:10, 5382, 1067,   64, 9650, 1008
01-jan-2014 07:20, 5350, 1064,   65, 9593, 1008
01-jan-2014 07:30, 5317, 1058,   65, 9534, 1007
01-jan-2014 07:40, 5182, 1036,   66, 9294, 1007
01-jan-2014 07:50, 5171, 1034,   66, 9274, 1007
01-jan-2014 08:00, 5074, 1019,   67, 9103, 1007
